Track_Name,Artist_Name
Make You Say,"Zedd,Maren Morris,BEAUZ"
Anti-Hero - ILLENIUM Remix,"Taylor Swift,ILLENIUM"
YOUTH,Troye Sivan
Chills (LA Hills),"Tiësto,A Boogie Wit da Hoodie"
I Was Never There,"The Weeknd,Gesaffelstein"
What You Know Bout Love,Pop Smoke
Back to You (feat. Bebe Rexha & Digital Farm Animals),"Louis Tomlinson,Bebe Rexha,Digital Farm Animals"
FTCU,Nicki Minaj
She Knows,"Ne-Yo,Juicy J"
Lemon Lime,Nic D
Ticking Away,"VALORANT,Grabbitz,bbno$"
Welcome to Chilis,"BABY GRAVY,Yung Gravy,bbno$"
Cowgirl (feat. Lourdiz),"Nicki Minaj,Lourdiz"
Everybody (feat. Lil Uzi Vert),"Nicki Minaj,Lil Uzi Vert"
Infinitely Falling,Fly By Midnight
Body,"Loud Luxury,Brando"
Halloween,Novo Amor
Afterglow,Sam Fischer
Grow A Pear,Kesha
One in a Million,"Bebe Rexha,David Guetta"
Sky High,Elektronomia
Heartless,Kanye West
Don't You Worry Child - Radio Edit,"Swedish House Mafia,John Martin"
OK Not To Be OK,"Marshmello,Demi Lovato"
if we never met,John K
Be Kind (with Halsey),"Marshmello,Halsey"
Hopeless Romantic,Sam Fischer
Secondhand Happiness,Sam Fischer
What Other People Say,"Sam Fischer,Demi Lovato"
This City,Sam Fischer
july,Lyn Lapid
Falling,Harry Styles
Watching My World Fall Apart,Sam Fischer
In The Stars,Benson Boone
Alright,"Sam Fischer,Meghan Trainor"
Somebody,Justin Bieber
Anyone,Justin Bieber
Off My Face,Justin Bieber
Wake Up in the Sky,"Gucci Mane,Bruno Mars,Kodak Black"
Murder on My Mind,YNW Melly
"King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock,Kendrick Lamar,Future,James Blake"
Close Friends (Lil Baby & Gunna),Lil Baby
Rubbin off the Paint,YBN Nahmir
Kamikaze,Lil Mosey
Noticed,Lil Mosey
Yoppa (with BlocBoy JB),"Lil Mosey,BlocBoy JB"
Come Over,Noah Kahan
Orange Juice,Noah Kahan
Last Time I Saw You,Nicki Minaj
Come Thru (with Usher),"Summer Walker,USHER"
Beautiful Pain (Losin My Mind),Polo G
AT THE PARTY (feat. Pharrell Williams & Travis Scott),"Kid Cudi,Pharrell Williams,Travis Scott"
Raindrops (Insane) [with Travis Scott],"Metro Boomin,Travis Scott"
TOES (feat. Lil Baby & Moneybagg Yo),"DaBaby,Lil Baby,Moneybagg Yo"
Ransom,Lil Tecca
Mixed Personalities (feat. Kanye West),"YNW Melly,Kanye West"
Opps Want Me Dead,Lil Skies
What If I Love You,Gatlin
High School in Jakarta,NIKI
11.11,Quavo
seven,Taylor Swift
epiphany,Taylor Swift
mirrorball,Taylor Swift
the lakes - bonus track,Taylor Swift
Killing Me,Conan Gray
The Lucky One (Taylor's Version),Taylor Swift
Red (Taylor's Version),Taylor Swift
State Of Grace (Taylor's Version),Taylor Swift
Begin Again (Taylor's Version),Taylor Swift
Treacherous (Taylor's Version),Taylor Swift
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift
Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),"Taylor Swift,Ed Sheeran"
The Moment I Knew (Taylor's Version),Taylor Swift
Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),"Taylor Swift,Ed Sheeran"
JACKIE BROWN,Brent Faiyaz
"Nonviolent Communication (Metro Boomin & James Blake, A$AP Rocky, 21 Savage)","Metro Boomin,James Blake,A$AP Rocky,21 Savage"
Hummingbird (Metro Boomin & James Blake),"Metro Boomin,James Blake"
There for You,"Martin Garrix,Troye Sivan"
Naked,James Arthur
Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift
Agora Hills,Doja Cat
My Love Mine All Mine,Mitski
exes,Tate McRae
Ain’t That Some,Morgan Wallen
The Lost Boy (feat. Skizzy Mars),"Lostboycrow,Skizzy Mars"
Last Night,Morgan Wallen
Someone You Loved,Lewis Capaldi
Bruises,Lewis Capaldi
Grace,Lewis Capaldi
Forever,Lewis Capaldi
Ghost,Justin Bieber
Die For You (feat. Dominic Fike),"Justin Bieber,Dominic Fike"
Holy (feat. Chance The Rapper),"Justin Bieber,Chance the Rapper"
Hold Me While You Wait,Lewis Capaldi
Body Party,Ciara
Believe Me,Navos
Bartender (feat. Akon),"T-Pain,Akon"
F2F,SZA
Notice Me,SZA
Gone Girl,SZA
Used (feat. Don Toliver),"SZA,Don Toliver"
In My Head (feat. Travis Barker),"24kGoldn,Travis Barker"
That's What I Get,charlieonnafriday
16,Baby Keem
Dangerous,"Kardinal Offishall,Akon"
Holding on to Us,Leslie Odom Jr.
All I Want Is You (feat. J. Cole),"Miguel,J. Cole"
Thinkin Bout You,Frank Ocean
Love Songs - Bonus,Kaash Paige
Still Your Best,Giveon
Open Arms (feat. Travis Scott),"SZA,Travis Scott"
Where The Love Goes (feat. Oskar Flood),"Anjulie,Oskar Flood"
Smack That,"Akon,Eminem"
Lost Me,Giveon
"no body, no crime (feat. HAIM)","Taylor Swift,HAIM"
Pasadena,"BABY GRAVY,Yung Gravy,bbno$"
piccolo,bbno$
"Better Off (Alone, Pt. III)","Alan Walker,Dash Berlin,Vikkstar"
MONEY ON THE DASH,"Elley Duhé,Whethan"
Kratos (A Little Closer),Alex LeMirage
Aftertaste (feat. Morgan St. Jean),"Loud Luxury,Morgan St. Jean"
i like the way you kiss me,Artemas
Espresso,Sabrina Carpenter
My Boy Only Breaks His Favorite Toys,Taylor Swift
Down Bad,Taylor Swift
But Daddy I Love Him,Taylor Swift
Fresh Out The Slammer,Taylor Swift
Who’s Afraid of Little Old Me?,Taylor Swift
Guilty as Sin?,Taylor Swift
imgonnagetyouback,Taylor Swift
So High School,Taylor Swift
Never Be Lonely,"Jax Jones,Zoe Wees"
Acapulco,Jason Derulo
Thank You (Not So Bad),"Dimitri Vegas & Like Mike,Tiësto,Dido,W&W,Dimitri Vegas,Like Mike"
(It Goes Like) Nanana - Edit,Peggy Gou
Massive,Drake
Work Song,Hozier
Enchanted Waterfall,krush
Stereo Love - Sped Up,krush
Best Time,Brent Faiyaz
lil' freak,bbno$
Jerry Sprunger (with T-Pain),"Tory Lanez,T-Pain"
Bad Memories,"MEDUZA,James Carter,Elley Duhé,FAST BOY"
Lose It All (I Don't Wanna),BUNT.
Piece Of Your Heart,"MEDUZA,Goodboys"
Tell Ur Girlfriend,Lay Bankz
Like That,"Future,Metro Boomin,Kendrick Lamar"
obsessed,Olivia Rodrigo
Perfect Strangers,"Jonas Blue,JP Cooper"
No Fear,DeJ Loaf
DNA (Loving You) [feat. Hannah Boleyn],"Billy Gillies,Hannah Boleyn"
Body Moving,"Eliza Rose,Calvin Harris"
Addicted,"Zerb,The Chainsmokers,Ink"
Too Sweet,Hozier
Where Are You Now,"Lost Frequencies,Calum Scott"
Type Shit,"Future,Metro Boomin,Travis Scott,Playboi Carti"
We Got The Party,Hannah Montana
Nobody's Perfect,Hannah Montana
Rock Star,Hannah Montana
Old Blue Jeans,Hannah Montana
Life's What You Make It,Hannah Montana
One In a Million,Hannah Montana
True Friend,Hannah Montana
He Could Be the One,Hannah Montana
I Wanna Know You,"Hannah Montana,David Archuleta"
Supergirl,Hannah Montana
Don't Wanna Be Torn,Hannah Montana
Let's Get Crazy,Hannah Montana
If We Were A Movie,"Hannah Montana,Corbin Bleu"
Love Me Harder,"Ariana Grande,The Weeknd"
Formula,Labrinth
This Is The Life - From Hannah Montana/Soundtrack Version,Hannah Montana
The Other Side of Me - From Hannah Montana/Soundtrack Version,Hannah Montana
If We Were A Movie - From Hannah Montana/Soundtrack Version,Hannah Montana
Pumpin' Up The Party - From Hannah Montana/Soundtrack Version,Hannah Montana
"Good Luck, Babe!",Chappell Roan
Keep Driving,Harry Styles
we're not alike,Tate McRae
MILLION DOLLAR BABY,Tommy Richman
Pick Me,Alec Benjamin
Different Kind Of Beautiful,Alec Benjamin
I Sent My Therapist To Therapy,Alec Benjamin
Tell It To My Heart,"MEDUZA,Hozier"
Old Town Road,Lil Nas X
Hell N Back (feat. Summer Walker),"Bakar,Summer Walker"
Go Back (feat. Julia Church),"John Summit,Sub Focus,Julia Church"
Drifting,Tiësto
I Got Nerve - From Hannah Montana/Soundtrack Version,Hannah Montana
The Best of Both Worlds - From Hannah Montana/Soundtrack Version,Hannah Montana
Who Said - From Hannah Montana/Soundtrack Version,Hannah Montana
Just Like You - From Hannah Montana/Soundtrack Version,Hannah Montana
Old Town Road - Remix,"Lil Nas X,Billy Ray Cyrus"
Terms and Conditions,Mahalia
Phone,"MEDUZA,Sam Tompkins,Em Beihold"
These Nights,"Loud Luxury,KIDDO"
Get Lucky (feat. Pharrell Williams and Nile Rodgers),"Daft Punk,Pharrell Williams,Nile Rodgers"
all my friends,21 Savage
a&t,21 Savage
Without You (feat. Usher),"David Guetta,USHER"
a lot,21 Savage
pad lock,21 Savage
asmr,21 Savage
BLUE SKY,Kid Cudi
Almost (Sweet Music),Hozier
Home,Good Neighbours
Tummy Hurts,Reneé Rapp
Talk Too Much,Reneé Rapp
Poison Poison,Reneé Rapp
née-nah,"21 Savage,Travis Scott,Metro Boomin"
Never Lose Me,Flo Milli
Come Down - RAC Mix,"Noah Kahan,RAC"
Glue Myself Shut,Noah Kahan
HOTEL LOBBY (Unc & Phew),"Quavo,Takeoff"
sneaky,21 Savage
Ruby,"Connor Price,Oliver Cronin"
back 2 back 2 back,"BABY GRAVY,Yung Gravy,bbno$"
Super Smash Bros.,"BABY GRAVY,Yung Gravy,bbno$"
No Way Jose,"BABY GRAVY,Yung Gravy,bbno$"
Despicable G's,"BABY GRAVY,Yung Gravy,bbno$"
KEEP BOUNCIN’,Kid Cudi
WOW (with A$AP Rocky),"Kid Cudi,A$AP Rocky"
Cardigan,Don Toliver
Just Us (feat. SZA),"DJ Khaled,SZA"
GET OFF ME (with Travis Scott),"Kid Cudi,Travis Scott"
GETCHA GONE,Kid Cudi
RAGER BOYZ (with Young Thug),"Kid Cudi,Young Thug"
ELECTROWAVEBABY,Kid Cudi
CUD LIFE,Kid Cudi
should've wore a bonnet,"21 Savage,Brent Faiyaz"
redrum,21 Savage
HVN ON EARTH (with Kodak Black),"Lil Tecca,Kodak Black"
Big Girls Don't Cry (Personal),Fergie
No Idea,Don Toliver
Domino,Jessie J
supernatural,Ariana Grande
true story,Ariana Grande
the boy is mine,Ariana Grande
bye,Ariana Grande
imperfect for you,Ariana Grande
guilty conscience,Tate McRae
eternal sunshine,Ariana Grande
Desire (with Sam Smith),"Calvin Harris,Sam Smith"
we can't be friends (wait for your love),Ariana Grande
Let's Go,Key Glock
Baby again..,"Fred again..,Skrillex,Four Tet"
act ii: date @ 8 (feat. Drake) - remix,"4batz,Drake"
Whatever She Wants,Bryson Tiller
Nights Like This (feat. Ty Dolla $ign),"Kehlani,Ty Dolla $ign"
Good Thing (with Kehlani),"Zedd,Kehlani"
Can I,Kehlani
"yes, and?",Ariana Grande
BEAM TO YA HEAD,HAARPER
One Of Your Girls,Troye Sivan
Got Me Started,Troye Sivan
Make You Mine,Madison Beer
On My Mama,Victoria Monét
Bad Bitch (feat. Ty Dolla $ign),"Bebe Rexha,Ty Dolla $ign"
Take Me Home (feat. Bebe Rexha) - Acoustic,"Cash Cash,Bebe Rexha"
If Only I (feat. Bebe Rexha),"Loud Luxury,Two Friends,Bebe Rexha"
500lbs,Lil Tecca
Forever Yours,Brent Faiyaz
All Night Long,"Kungs,David Guetta,Izzy Bizu"
Patty Cake (feat. Takeoff),"Quavo,Takeoff"
Heart Wants What It Wants,Bebe Rexha
Miracle Man,Bebe Rexha
Beautiful Things,Benson Boone
Rich Baby Daddy (feat. Sexyy Red & SZA),"Drake,Sexyy Red,SZA"
"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd,JENNIE,Lily-Rose Depp"
Visions (Don't Go),Bebe Rexha
Blue Moon,Bebe Rexha
DK Rap (From Donkey Kong 64),Player2
Corduroy Dreams,Rex Orange County
‘tis the damn season,Taylor Swift
gold rush,Taylor Swift
Malibu,Miley Cyrus
Slide Away,Miley Cyrus
Would That I,Hozier
Take Me to Church,Hozier
100 Degrees,Rich Brian
All My Love,Noah Kahan
Drag Me Down,One Direction
People,Libianca
Saajanji Ghar Aaye,"Kavita Krishnamurthy,Kumar Sanu,Alka Yagnik"
Koi Mil Gaya,"Kavita Krishnamurthy,Udit Narayan,Alka Yagnik"
Gallan Goodiyaan,"Yashita Sharma,Manish Kumar Tipu,Farhan Akhtar,Shankar Mahadevan,Sukhwinder Singh"
Baby Doll,"Meet Bros Anjjan,Kanika Kapoor"
"Sajna, Say Yes To The Dress","Badshah,Payal Dev"
Paranoid,Post Malone
Spoil My Night (feat. Swae Lee),"Post Malone,Swae Lee"
Die 4 Me,Halsey
Bitch I'm Madonna,"Madonna,Nicki Minaj"
Dip (feat. Nicki Minaj),"Tyga,Nicki Minaj"
No Frauds,"Nicki Minaj,Drake,Lil Wayne"
Bruises,Reneé Rapp
Souvenir,Selena Gomez
Coast (feat. Anderson .Paak),"Hailee Steinfeld,Anderson .Paak"
I Want It All,COIN
Crash My Car,COIN
You,Miley Cyrus
Violet Chemistry,Miley Cyrus
Rich & Sad,Post Malone
River,Miley Cyrus
Should’ve Been Us,Tori Kelly
Nobody Love,Tori Kelly
missin u,Tori Kelly
Is There Someone Else?,The Weeknd
Feather,Sabrina Carpenter
la di die (feat. Jaden Hossler),"Nessa Barrett,jxdn"
Nonsense (with Coi Leray) - Remix,"Sabrina Carpenter,Coi Leray"
Muddy Feet (feat. Sia),"Miley Cyrus,Sia"
Plastic Hearts,Miley Cyrus
Zack And Codeine,Post Malone
Over Now,Post Malone
Cotton Candy,Nic D
High Infidelity,Taylor Swift
"You're On Your Own, Kid",Taylor Swift
Kuch Kuch Hota Hai,"Jatin-Lalit,Udit Narayan,Alka Yagnik"
Cupid - Twin Ver.,FIFTY FIFTY
Erasing You,HÆRT
All I Want,Kodaline
bellyache,Billie Eilish
Arcade,Duncan Laurence
Wondering,"Olivia Rodrigo,Julia Lester,Disney"
Jocelyn Flores,XXXTENTACION
Eyes Closed,Ed Sheeran
Photograph,Ed Sheeran
Thinking out Loud,Ed Sheeran
Bad Habits,Ed Sheeran
Starboy,"The Weeknd,Daft Punk"
One,Lewis Capaldi
Maybe,Lewis Capaldi
Water Under the Bridge,Adele
Psycho (feat. Ty Dolla $ign),"Post Malone,Ty Dolla $ign"
Ball For Me (feat. Nicki Minaj),"Post Malone,Nicki Minaj"
Stay,Post Malone
Blame It On Me,Post Malone
That’s Not How This Works (feat. Dan + Shay & Sabrina Carpenter) - Sabrina’s Version,"Charlie Puth,Dan + Shay,Sabrina Carpenter"
Prisoner (feat. Dua Lipa),"Miley Cyrus,Dua Lipa"
Sugar Sweet,Benson Boone
rockstar (feat. 21 Savage),"Post Malone,21 Savage"
Forget Me,Lewis Capaldi
Hollywood,Lewis Capaldi
Lie To Me,5 Seconds of Summer
Dusk Till Dawn (feat. Sia) - Radio Edit,"ZAYN,Sia"
Ghost Town,Benson Boone
Breakeven,The Script
Undrunk,FLETCHER
Love Someone,Lukas Graham
Hold Me While You Wait,Lewis Capaldi
Long Live A$AP,A$AP Rocky
PMW (All I Really Need) (feat. ScHoolboy Q),"A$AP Rocky,ScHoolboy Q"
The Hard Way,"PNAU,Khalid"
Stick Season,Noah Kahan
Why Do You Talk To Me?,Quinn XCII
Peaches (feat. Daniel Caesar & Giveon),"Justin Bieber,Daniel Caesar,Giveon"
Blurry Pictures,Max Drazen
Easy,"Connor Price,Nic D"
LOVE AGAIN,The Kid LAROI
Bones,Imagine Dragons
You Give Love A Bad Name,Bon Jovi
Glimpse of Us,Joji
Feeling Like The End,Joji
Colorado,Reneé Rapp
Catastrophize,Noah Kahan
Blue Spirits,DWLLRS
Silver Lining,Mt. Joy
8th Wonder,The National Parks
"Everywhere, Everything",Noah Kahan
She Calls Me Back,Noah Kahan
One Two Three Four (Get On The Dance Floor),"Vishal Dadlani,Hamsika Iyer"
,
The Lows,Quinn XCII
Being Me,Quinn XCII
5 Shots,gianni & kyle
The Way You Felt,Alec Benjamin
Dopamine Addict,Alec Benjamin
uh oh,Tate McRae
VIBE (feat. Jimin of BTS),"TAEYANG,Jimin"
Crash Course,Sam MacPherson
Devil Doesn’t Bargain,Alec Benjamin
Like That (feat. Gucci Mane),"Doja Cat,Gucci Mane"
I,Lil Skies
Trap Queen,Fetty Wap
Speakers,Alec Benjamin
"Shakira: Bzrp Music Sessions, Vol. 53","Bizarrap,Shakira"
Deniro,Alec Benjamin
,
Shadow Of Mine,Alec Benjamin
Cynic,Noah Kahan
Don't Let Me,Morningsiders
Stacy,Quinn XCII
Tell Me You Love Me,Demi Lovato
Hallucinogenics,Matt Maeson
Last Night,Morgan Wallen
A Sweeter Place (feat. Kid Cudi),"Selena Gomez,Kid Cudi"
Flowers,Miley Cyrus
On My Mind,Ellie Goulding
Rose Colored Lenses,Miley Cyrus
Sorry Not Sorry,Demi Lovato
Jaded,Miley Cyrus
Jenny Jenkins,Mt. Joy
Island,Miley Cyrus
Same Old Love,Selena Gomez
Hands To Myself,Selena Gomez
Kill Em With Kindness,Selena Gomez
Good For You,"Selena Gomez,A$AP Rocky"
In The Kitchen,Reneé Rapp
Ajab Si (From Om Shanti Om),KK
Dusty,Ed Sheeran
OMG,NewJeans
Chains,Nick Jonas
How Can I Forget,MKTO
Creepin' (with The Weeknd & 21 Savage),"Metro Boomin,The Weeknd,21 Savage"
False Confidence,Noah Kahan
Stay Awake,Dean Lewis
Carlo's Song,Noah Kahan
Busyhead,Noah Kahan
Ophelia,The Lumineers
Mess,Noah Kahan
Good Things Fall Apart (with Jon Bellion),"ILLENIUM,Jon Bellion"
Really Don't Care,"Demi Lovato,Cher Lloyd"
Fire N Gold,Bea Miller
Please Don't Go,Mike Posner
Pretty Brown Eyes,Cody Simpson
Rock Bottom,"Hailee Steinfeld,DNCE"
Toothbrush,DNCE
Brokenhearted,Karmin
I'm a Mess,Bebe Rexha
tolerate it,Taylor Swift
Someone New,Hozier
Chemical,Post Malone
Melting,Kali Uchis
Strangers,Kenya Grace
Bubbly (with Drake & Travis Scott),"Young Thug,Drake,Travis Scott"
Used (feat. Don Toliver),"SZA,Don Toliver"
Champion (feat. Travis Scott),"NAV,Travis Scott"
Metro Spider (with Young Thug),"Metro Boomin,Young Thug"
I Can't Save You (Interlude) [with Future & feat. Don Toliver],"Metro Boomin,Future,Don Toliver"
VALENTINO,24kGoldn
CITY OF ANGELS,24kGoldn
GAMES ON YOUR PHONE,24kGoldn
Psychic,"Chris Brown,Jack Harlow"
Fantasize,Underground
drunk text,Henry Moodie
17,Pink Sweat$
Run Through Fire,Pink Sweat$
BLAHBLAHBLAH DEMO,Joji
Superhero (Heroes & Villains) [with Future & Chris Brown],"Metro Boomin,Future,Chris Brown"
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],"Metro Boomin,Travis Scott,21 Savage"
Greatness,Quavo
Rocketeer,"Far East Movement,Ryan Tedder,Ruff Loaderz"
PICKYOURPHONEUP (feat. K CAMP),"Jack Harlow,K CAMP"
SLIDE FOR ME,Jack Harlow
TOO MUCH,Jack Harlow
Held Me Down,"NAV,Metro Boomin"
Dreamcatcher (feat. Swae Lee & Travis Scott),"Metro Boomin,Swae Lee,Travis Scott"
SUNDOWN,Jack Harlow
bad idea,Ariana Grande
Vetement Socks,NAV
CODY BANKS,Jack Harlow
9TH GRADE,Jack Harlow
What It Is,KYLE
3:15 (Breathe),Russ
Ghost in the Machine (feat. Phoebe Bridgers),"SZA,Phoebe Bridgers"
SKELETONS,Travis Scott
fake smile,Ariana Grande
LIKE THIS,Jack Harlow
Count Me Out,Kendrick Lamar
bloodline,Ariana Grande
"thank u, next",Ariana Grande
Keanu Reeves,Logic
Cocaine,Logic
Still Ballin (feat. Wiz Khalifa),"Logic,Wiz Khalifa"
Icy (feat. Gucci Mane),"Logic,Gucci Mane"
clickbait,Logic
Wannabe,Logic
Homicide (feat. Eminem),"Logic,Eminem"
Confessions of a Dangerous Mind,Logic
Ruin My Life,Zara Larsson
My Bad,Khalid
Conceited,SZA
Toxic,Kehlani
So High,"Repiet,Lucles,Protocol Lab"
long story short,Taylor Swift
willow,Taylor Swift
Limitless,Logic
lowkey,NIKI
Hundred,Khalid
broken,lovelytheband
7 rings,Ariana Grande
champagne problems,Taylor Swift
marjorie,Taylor Swift
right where you left me - bonus track,Taylor Swift
my tears ricochet,Taylor Swift
STARGAZING,Travis Scott
SICKO MODE,Travis Scott
"break up with your girlfriend, i'm bored",Ariana Grande
YOSEMITE,Travis Scott
peace,Taylor Swift
ceilings,Lizzy McAlpine
Moral of the Story,Ashe
Labyrinth,Taylor Swift
Falling For You,"Repiet,LVRNS,Luxor,Rico 56"
Echo,"RSCL,Repiet,Julia Kleijn"
Lose Control,"MEDUZA,Becky Hill,Goodboys"
NO BYSTANDERS,Travis Scott
I LIKE,Tory Lanez
Last Kiss Of Nebulon,Tory Lanez
Hurt From Mercury,Tory Lanez
Mona Lisa (Spider-Man: Across the Spider-Verse),Dominic Fike
PORSCHE TOPLESS,Kid Cudi
Took My Breath Away (feat. Skye Morales),"Trippie Redd,Skye Morales"
Sad & Alone,"Zzz.,Trippie Redd"
"Home (Metro Boomin & Don Toliver, Lil Uzi Vert)","Metro Boomin,Don Toliver,Lil Uzi Vert"
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Metro Boomin,Future,Lil Uzi Vert"
Glock In My Lap,"21 Savage,Metro Boomin"
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Metro Boomin,Swae Lee,NAV,A Boogie Wit da Hoodie"
Silk & Cologne (EI8HT & Offset) - Spider-Verse Remix,"EI8HT,Offset"
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","Metro Boomin,Don Toliver,Wizkid,BEAM,Toian"
Kabhi Kabhi Aditi,Rashid Ali
vampire,Olivia Rodrigo
All My Life (feat. J. Cole),"Lil Durk,J. Cole"
Ms. Poli Sci,"Paul Russell,Khary"
in my miNd,Maty Noyes
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin,Coi Leray"
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","Metro Boomin,A$AP Rocky,Roisee"
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd,Playboi Carti,Madonna"
Heaven,Niall Horan
Fast Car,Luke Combs
Peaches,Jack Black
Players,Coi Leray
"Would've, Could've, Should've",Taylor Swift
august,Taylor Swift
This Love (Taylor’s Version),Taylor Swift
Hey Stephen (Taylor’s Version),Taylor Swift
I Don’t Wanna Live Forever (Fifty Shades Darker),"ZAYN,Taylor Swift"
All Of The Girls You Loved Before,Taylor Swift
Change (Taylor’s Version),Taylor Swift
Tyler Herro,Jack Harlow
Fifteen (Taylor’s Version),Taylor Swift
White Horse (Taylor’s Version),Taylor Swift
We're All Gonna Die (with Noah Kahan),"Joy Oladokun,Noah Kahan"
The View Between Villages,Noah Kahan
Slingshot,"Zach Seabaugh,Chance Peña"
Tell Me Why (Taylor’s Version),Taylor Swift
Nobody Gets Me,SZA
Burnin' Up,Jonas Brothers
Radio,Lana Del Rey
Reminder,The Weeknd
get him back!,Olivia Rodrigo
Harleys In Hawaii,Katy Perry
Mmmh,KAI
We Go Down Together (with Khalid),"Dove Cameron,Khalid"
chaotic,Tate McRae
Strawberries & Cigarettes,Troye Sivan
Broke In A Minute,Tory Lanez
It Can't Be,Jack Harlow
The London (feat. J. Cole & Travis Scott),"Young Thug,J. Cole,Travis Scott"
HOTEL LOBBY (Unc & Phew),"Quavo,Takeoff"
FLIP THE SWITCH (feat. Drake),"Quavo,Drake"
Sky Walker (feat. Travis Scott),"Miguel,Travis Scott"
Pink Dolphin Sunset (feat. Tee),"Tory Lanez,Tee"
Midnight's Interlude,Tory Lanez
Ballad of a Badman,Tory Lanez
Hope,XXXTENTACION
Curtains,Ed Sheeran
‘87 Stingray,Tory Lanez
Sorry 4 What? // LV BELT,Tory Lanez
What the Hell,Avril Lavigne
Complicated,Avril Lavigne
The Other Side Of The Door (Taylor’s Version),Taylor Swift
Boys Ain't Shit (feat. Tate McRae & Audrey Mika),"SAYGRACE,Tate McRae,Audrey Mika"
invisible string,Taylor Swift
Out Of Love,Alessia Cara
betty,Taylor Swift
Die Young,Roddy Ricch
mad woman,Taylor Swift
this is me trying,Taylor Swift
august,Taylor Swift
Good In Goodbye,Madison Beer
Dazed & Confused,Ruel
I Got A Shot,Jack Harlow
Search & Rescue,Drake
Shut up My Moms Calling,Hotel Ugly
illicit affairs,Taylor Swift
Drop Shit,NLE Choppa
